age,income,debt,loan_amount,payment_history,num_credit_accounts,credit_utilization,employment_years,num_late_payments,debt_to_income_ratio,creditworthy
58,17928.26,8614.61,27230.92,76.1,9,0.0754,4.2,9,0.4805,1
30,51627.87,803.75,44320.99,95.7,14,0.3575,1.6,1,0.0156,1
65,64068.83,62328.29,20571.75,100.0,7,0.4276,6.3,5,0.9728,1
24,74655.56,11656.24,32014.22,61.4,5,0.4228,3.5,4,0.1561,1
34,77780.66,4381.98,32588.28,97.8,14,0.0156,7.3,7,0.0563,1
31,79833.68,7466.15,47524.03,76.4,8,0.2229,5.7,0,0.0935,1
51,51281.87,441.96,1000.0,69.3,9,0.2817,0.2,8,0.0086,1
22,48441.21,12076.23,18123.88,79.8,5,0.2496,2.9,8,0.2493,1
22,81449.4,24687.85,37727.74,73.1,4,0.2335,2.3,2,0.3031,1
46,55217.39,12105.96,48188.45,74.0,3,0.476,1.6,1,0.2192,1
69,28107.84,22274.32,28601.07,64.7,4,0.0368,4.2,7,0.7925,1
47,31667.82,10132.52,20609.44,46.8,3,0.3206,1.4,3,0.32,1
43,37013.69,21852.27,36356.78,44.2,11,0.3145,0.8,11,0.5904,1
54,72429.02,10605.11,38030.54,83.8,1,0.3365,0.8,9,0.1464,1
49,63560.64,15336.8,19605.07,67.0,9,0.3547,1.0,11,0.2413,1
40,77262.13,28837.65,29954.61,61.3,14,0.4465,4.1,6,0.3732,0
50,49318.68,65879.85,42707.91,72.2,11,0.2748,13.6,11,1.3358,1
22,63963.49,8071.01,53356.88,86.3,6,0.0253,1.9,0,0.1262,1
33,75639.76,51677.91,36139.07,75.2,1,0.0738,8.5,3,0.6832,1
55,52266.34,1680.7,25662.08,60.2,12,0.3105,1.0,0,0.0322,1
38,71419.38,13627.79,24188.87,94.1,1,0.2804,2.0,8,0.1908,1
24,43451.85,10537.88,33360.95,100.0,10,0.2083,8.4,6,0.2425,1
28,50923.65,12943.3,23264.91,80.9,10,0.3806,5.9,3,0.2542,1
64,50456.55,27705.08,27844.61,89.5,3,0.1369,6.0,3,0.5491,1
38,30104.01,7407.62,9131.86,94.4,11,0.1304,7.3,7,0.2461,1
23,72174.31,63021.5,44455.86,92.3,3,0.3511,13.9,2,0.8732,1
57,48264.94,11910.6,7897.23,83.1,4,0.2536,5.4,6,0.2468,1
47,60312.35,21929.01,18518.32,82.8,12,0.4433,0.7,7,0.3636,1
44,72018.67,13341.36,26463.9,81.4,14,0.1267,7.7,2,0.1852,1
65,71163.28,11056.35,54864.8,52.2,4,0.3177,6.9,2,0.1554,1
37,76634.63,8629.68,18659.76,84.6,13,0.2803,8.0,4,0.1126,1
50,57537.86,365.63,15009.76,47.6,13,0.2715,1.7,7,0.0064,1
58,49417.54,58933.75,16737.75,57.7,11,0.1043,3.9,3,1.1926,1
51,58007.04,15625.98,49883.46,95.5,2,0.236,0.4,4,0.2694,1
32,17816.64,41399.26,1000.0,87.1,5,0.2148,1.7,6,2.3236,1
55,23822.19,60658.93,9958.93,98.8,10,0.1333,2.9,2,2.5463,1
58,26932.51,23238.11,65969.33,67.1,14,0.2534,2.2,6,0.8628,1
27,35068.83,7187.69,33863.23,51.3,12,0.1179,7.9,1,0.205,1
30,69994.36,9512.95,8410.23,67.7,6,0.4424,2.2,1,0.1359,1
55,37363.02,1495.04,24371.23,73.8,4,0.1636,21.7,2,0.04,1
27,50545.94,35554.35,26011.82,73.4,14,0.2698,1.9,3,0.7034,1
65,92480.71,17632.77,37691.88,92.4,4,0.1908,3.5,0,0.1907,1
27,51093.4,41213.88,52592.53,65.5,5,0.0594,0.4,11,0.8066,1
69,78437.89,36346.42,30828.28,78.3,14,0.4766,4.1,3,0.4634,1
54,36659.56,615.76,16903.18,54.2,8,0.1188,2.3,9,0.0168,1
43,54864.06,26472.54,36806.27,80.1,4,0.2551,18.1,10,0.4825,1
35,36249.45,2189.52,14526.21,72.1,1,0.1793,3.4,9,0.0604,1
38,51524.17,1146.42,9499.94,58.5,7,0.4819,0.4,9,0.0223,1
58,81007.7,17047.08,1000.0,67.8,14,0.2818,0.5,1,0.2104,1
58,16816.99,9129.53,1523.07,68.7,7,0.5657,0.4,4,0.5429,1
32,70860.59,23633.35,11553.32,67.1,10,0.3309,1.9,8,0.3335,1
48,65943.39,49061.92,7333.15,100.0,4,0.2693,1.7,6,0.744,1
70,45146.25,8252.85,29698.55,70.2,11,0.109,16.5,0,0.1828,1
34,23848.55,13856.43,7008.97,67.6,11,0.5241,0.9,6,0.581,1
55,61803.24,46.9,1000.0,34.2,9,0.1443,5.1,9,0.0008,1
30,46762.68,3467.32,9341.32,55.9,11,0.352,2.4,9,0.0741,1
62,65816.91,16819.18,17922.11,67.3,9,0.628,5.3,4,0.2555,1
30,60546.3,187.49,15918.26,59.7,6,0.5422,1.7,2,0.0031,1
36,100044.47,15719.39,47792.87,96.9,11,0.366,0.3,3,0.1571,1
44,54016.11,14889.73,15796.86,69.0,12,0.2706,1.1,3,0.2757,1
40,34412.56,1459.65,38213.85,95.2,12,0.2232,2.0,4,0.0424,1
30,64481.89,39002.0,24715.26,73.1,3,0.0189,10.6,3,0.6049,1
53,65499.92,21774.23,24365.43,72.7,10,0.2789,5.9,5,0.3324,1
22,93979.69,35953.03,12469.3,70.4,1,0.2685,1.1,0,0.3826,1
70,80877.78,2493.14,24118.26,72.1,9,0.4319,2.9,3,0.0308,1
24,68921.78,21047.97,13523.56,100.0,8,0.1182,1.8,3,0.3054,1
38,96582.57,6304.61,27550.36,30.2,6,0.3818,0.1,1,0.0653,1
67,30280.92,45681.57,21456.26,36.0,14,0.2785,0.8,10,1.5086,1
29,44006.21,9967.57,10830.58,62.2,13,0.2292,6.1,8,0.2265,1
25,36835.6,14460.54,39878.42,72.3,1,0.2238,4.4,10,0.3926,1
58,50254.75,4887.32,31402.61,84.4,3,0.2288,2.3,6,0.0973,1
25,25582.85,9650.81,18279.06,80.5,3,0.1765,5.2,1,0.3772,1
66,75878.77,20906.48,27182.4,65.1,13,0.3713,8.5,10,0.2755,1
44,54444.43,15944.74,23742.66,90.3,8,0.4151,8.1,5,0.2929,1
64,23229.84,210.07,11986.14,90.5,11,0.1043,0.7,8,0.009,1
34,34610.52,537.71,26057.44,75.3,12,0.2302,12.1,4,0.0155,1
28,67837.85,9185.61,15684.82,89.3,11,0.0667,0.9,5,0.1354,1
69,80953.16,22600.25,10825.99,76.9,2,0.389,6.4,5,0.2792,1
59,109918.27,14009.39,1000.0,61.9,2,0.3549,0.5,3,0.1275,1
66,132846.56,3007.93,19620.89,84.6,6,0.5343,1.1,6,0.0226,1
37,70360.24,24349.21,33504.56,74.0,5,0.7474,6.6,8,0.3461,0
41,35261.55,50590.8,14580.11,72.0,11,0.4071,1.6,0,1.4347,1
50,15000.0,6156.64,62810.63,98.5,3,0.4173,1.5,1,0.4104,1
43,66692.79,9756.32,38285.28,27.9,6,0.3887,12.8,10,0.1463,1
33,39676.47,8839.58,44564.95,46.5,4,0.1933,0.8,6,0.2228,1
40,49616.07,5209.6,36928.65,50.6,3,0.5397,4.5,11,0.105,1
51,44697.58,6380.9,52792.97,65.5,3,0.5004,8.7,7,0.1428,1
23,56480.23,5363.01,13194.97,67.4,3,0.2231,4.4,7,0.095,1
38,86649.51,3039.76,1000.0,44.9,8,0.2787,2.5,10,0.0351,1
36,63926.21,897.41,18308.12,54.3,6,0.3358,0.1,7,0.014,1
25,56034.13,5059.09,33373.28,56.5,7,0.3918,5.5,3,0.0903,1
28,34108.66,32559.04,27272.75,100.0,7,0.5779,5.5,6,0.9546,1
46,18132.93,5828.46,29132.09,100.0,11,0.6932,4.1,2,0.3214,1
27,47842.3,4049.89,44813.65,64.6,13,0.0939,4.0,4,0.0847,1
38,58655.44,23319.81,30730.86,65.5,8,0.2537,5.8,8,0.3976,1
49,104198.25,7760.95,36983.69,51.3,9,0.1789,0.8,1,0.0745,1
64,63256.86,21470.41,10906.56,37.7,11,0.1278,2.2,8,0.3394,1
26,84568.49,17431.19,8569.09,69.9,10,0.0315,10.5,7,0.2061,1
43,47517.61,17431.66,49211.71,54.0,2,0.0376,0.3,3,0.3668,1
27,30376.41,5459.32,26513.52,70.5,14,0.1253,14.7,0,0.1797,1
43,35872.08,12813.49,15651.56,43.2,3,0.0256,7.0,8,0.3572,1
45,41869.35,43549.99,15679.08,58.3,6,0.1422,2.1,9,1.0401,1
61,113211.74,20371.78,15263.15,74.7,10,0.4404,3.2,8,0.1799,0
43,39465.33,18321.57,14365.61,78.6,6,0.1382,5.9,5,0.4642,1
67,80962.23,9079.94,5752.78,79.5,4,0.0881,0.4,7,0.1122,1
28,37426.82,17503.05,2493.69,48.2,13,0.3802,3.6,4,0.4677,1
24,83289.33,10998.74,22074.93,87.4,2,0.4318,4.7,4,0.1321,1
22,69623.77,2693.97,16106.11,57.6,4,0.4433,8.0,3,0.0387,1
39,56084.05,5319.28,41607.39,83.4,14,0.3915,8.8,2,0.0948,1
31,58980.94,2563.9,29396.15,71.8,11,0.6593,14.1,11,0.0435,1
26,43630.31,16411.98,28979.77,47.2,2,0.1055,3.7,7,0.3762,1
33,71151.81,1514.24,13853.19,66.3,11,0.1948,9.4,2,0.0213,1
69,48625.41,1390.76,23184.57,78.6,14,0.4171,1.4,10,0.0286,1
61,29359.86,3237.35,30415.02,83.0,2,0.4174,3.8,1,0.1103,1
22,28051.56,7138.56,35742.94,69.5,6,0.0268,5.0,7,0.2545,1
66,64314.7,2638.31,23591.62,99.6,7,0.5063,2.8,1,0.041,1
32,99477.28,19680.61,41186.86,90.1,2,0.2391,4.4,4,0.1978,1
41,63999.79,11607.56,25119.84,67.4,3,0.4449,11.5,7,0.1814,1
38,57034.04,76713.61,36892.71,85.5,3,0.3118,5.2,11,1.345,0
41,67145.65,51206.46,17652.22,100.0,3,0.4432,3.3,11,0.7626,1
59,92650.04,10759.15,1000.0,100.0,6,0.1502,10.9,10,0.1161,1
56,65484.56,9544.6,29025.38,49.9,7,0.2991,11.8,2,0.1458,1
51,49726.82,1796.01,35879.86,55.3,4,0.3947,4.1,1,0.0361,1
52,87657.22,24732.41,33630.21,98.7,5,0.1632,3.2,10,0.2821,1
57,70718.91,52895.8,31332.8,53.0,3,0.2808,8.3,11,0.748,1
31,98393.9,9878.93,19771.2,48.2,12,0.3714,13.3,3,0.1004,1
41,64580.86,23700.02,12898.81,63.2,3,0.1225,2.7,0,0.367,1
27,29388.27,313.62,33275.92,79.6,13,0.1754,3.0,7,0.0107,1
56,25796.02,110812.46,31396.71,70.2,8,0.4105,8.7,0,4.2957,0
43,101273.2,1592.7,16586.51,60.3,12,0.3239,3.4,0,0.0157,1
53,103091.64,22678.11,41641.36,59.9,9,0.0504,3.5,11,0.22,1
49,55512.02,817.51,11757.02,59.2,4,0.2548,5.3,5,0.0147,1
35,50420.32,5155.17,16247.15,56.2,9,0.0956,0.7,1,0.1022,1
28,96536.11,6016.28,49546.38,100.0,4,0.3509,4.3,7,0.0623,1
69,32323.86,15875.59,38028.73,77.4,2,0.0404,0.5,4,0.4911,1
36,37631.82,998.82,19629.86,88.0,4,0.257,0.4,6,0.0265,1
27,76083.17,6743.24,29310.71,63.2,4,0.1562,7.3,10,0.0886,1
36,50134.87,3637.23,27321.88,68.7,2,0.1128,4.1,2,0.0725,1
66,59871.95,1822.16,1000.0,59.2,1,0.2751,0.1,7,0.0304,1
34,55913.93,25264.66,11402.89,24.3,14,0.2568,4.0,9,0.4518,1
70,68439.36,7215.8,24237.3,47.2,8,0.0784,4.7,5,0.1054,1
44,95187.05,1470.47,19650.83,39.4,6,0.3743,1.0,11,0.0154,1
64,62264.62,8596.01,28706.54,31.5,14,0.282,1.0,5,0.1381,1
54,76098.47,2938.59,41942.23,50.5,4,0.191,0.4,5,0.0386,1
24,15000.0,16.57,20176.96,95.8,6,0.4712,2.8,10,0.0011,1
46,58782.04,1650.74,9135.18,71.2,12,0.2208,5.0,7,0.0281,1
42,38919.24,17927.28,29872.77,95.2,9,0.4525,16.9,10,0.4606,1
31,29529.67,26.04,20100.65,79.4,6,0.1508,1.3,9,0.0009,1
48,38046.19,7159.23,22659.05,86.1,4,0.0659,5.0,8,0.1882,1
27,51646.91,10506.74,20623.39,55.8,1,0.2654,2.6,2,0.2034,1
56,82897.56,4478.63,58627.57,81.4,2,0.256,4.6,4,0.054,1
62,26840.18,12072.97,1000.0,85.1,3,0.1534,6.8,10,0.4498,1
26,60765.79,27411.03,19174.99,61.6,12,0.1463,2.4,7,0.4511,1
45,47895.76,9388.74,24944.66,82.1,9,0.3618,0.4,3,0.196,1
54,51808.17,8809.55,13282.86,82.2,7,0.1768,7.5,3,0.17,1
25,85068.95,2274.72,38497.39,62.1,11,0.2857,3.7,9,0.0267,1
41,73452.89,9475.28,37198.87,51.8,3,0.35,11.5,2,0.129,1
34,93434.95,34787.26,24283.68,50.7,3,0.2879,1.0,1,0.3723,1
23,56137.36,8745.54,20939.89,73.6,6,0.8105,0.7,9,0.1558,1
61,42601.43,10934.77,23320.65,77.9,13,0.1876,0.9,3,0.2567,1
43,54403.53,43146.71,23428.2,57.7,9,0.1115,20.4,9,0.7931,1
58,66062.42,5994.62,23824.4,72.5,12,0.2931,9.2,6,0.0907,1
50,64414.33,676.47,22180.01,82.3,4,0.3078,1.5,11,0.0105,1
64,32890.3,31514.82,28786.74,83.1,12,0.101,1.8,6,0.9582,1
70,62262.24,10366.9,36298.18,99.9,2,0.3015,4.9,10,0.1665,1
51,65705.71,2143.78,6546.1,95.0,4,0.2968,2.8,10,0.0326,1
39,122936.85,1316.36,9240.04,54.0,8,0.2955,1.7,2,0.0107,1
42,106921.12,10019.07,1000.0,100.0,1,0.3081,2.0,11,0.0937,1
62,38668.92,23542.93,37995.96,62.4,13,0.0726,10.4,8,0.6088,1
42,52815.42,465.6,28754.85,90.8,13,0.1494,5.6,1,0.0088,1
47,23413.95,1092.13,32579.01,73.2,8,0.3797,10.4,0,0.0466,1
31,45232.32,1674.68,3557.53,64.6,5,0.0725,13.3,3,0.037,1
70,67890.13,2549.2,51774.22,39.5,2,0.6407,5.3,0,0.0375,1
53,90146.34,14962.82,15867.24,68.9,9,0.1932,4.9,4,0.166,1
38,41772.9,847.39,27523.09,43.9,8,0.1084,0.8,11,0.0203,0
50,43646.34,28621.25,37815.77,89.4,11,0.4118,3.6,5,0.6558,1
41,15000.0,37777.6,10195.3,99.3,9,0.438,1.8,0,2.5185,1
29,55933.35,74947.52,16805.13,57.7,2,0.2224,12.4,5,1.3399,1
64,33439.64,146.95,27687.58,77.4,2,0.1762,1.6,2,0.0044,1
65,46764.01,3246.96,67862.1,58.9,11,0.2282,2.0,10,0.0694,0
62,38078.48,11013.43,29516.87,60.7,3,0.1417,12.7,1,0.2892,1
40,57643.44,1048.58,49095.42,85.9,14,0.5975,19.5,9,0.0182,1
34,16056.79,61716.24,43085.1,71.3,2,0.4955,5.0,5,3.8436,1
24,23323.87,50342.2,30520.15,100.0,11,0.4229,4.1,0,2.1584,1
57,113231.18,10255.56,10162.06,63.3,14,0.4183,1.7,8,0.0906,0
38,27814.44,29968.05,40896.3,90.0,7,0.2383,7.3,5,1.0774,1
65,32580.36,31083.1,2528.34,73.8,1,0.0458,3.5,9,0.954,1
64,105922.84,11327.04,49013.13,86.3,13,0.0879,3.8,7,0.1069,1
28,132626.68,7331.52,28000.08,64.0,3,0.3227,3.3,9,0.0553,1
66,30710.83,30101.99,1000.0,71.1,8,0.1013,3.2,5,0.9802,1
28,50793.78,8977.38,19892.41,69.9,14,0.2883,1.7,0,0.1767,1
46,68538.89,37240.02,34809.22,57.0,11,0.1143,21.0,1,0.5433,1
45,103217.44,15164.63,21444.64,83.9,1,0.2827,6.7,5,0.1469,1
68,35328.57,10268.41,35725.09,83.7,12,0.206,20.3,4,0.2907,1
54,53868.05,7500.1,12249.64,82.7,3,0.1473,22.6,9,0.1392,1
64,79433.44,5136.98,5410.26,99.7,11,0.2845,2.3,4,0.0647,1
51,70869.15,3308.35,23928.32,98.1,9,0.5334,3.3,10,0.0467,1
62,50596.1,159.5,25473.49,65.3,5,0.5261,7.6,2,0.0032,1
63,56654.43,4658.6,19774.23,78.7,6,0.1022,2.0,4,0.0822,1
64,25627.6,274.26,43409.37,60.8,2,0.2287,12.8,9,0.0107,1
42,54045.66,3754.44,12246.89,72.4,14,0.3002,3.2,1,0.0695,1
40,53340.31,49599.68,29697.48,61.2,4,0.4288,2.2,3,0.9299,1
70,65804.25,37098.72,26019.55,100.0,5,0.13,2.7,9,0.5638,1
59,46116.82,36061.71,1649.26,78.5,8,0.5097,0.4,7,0.782,1
66,71788.46,6005.67,5214.55,68.1,10,0.1334,1.8,9,0.0837,1
50,85317.9,44752.17,25178.67,93.5,8,0.291,20.3,6,0.5245,1
67,63885.73,17238.43,54718.0,32.9,8,0.3537,2.7,10,0.2698,1
57,68793.91,673.74,33689.05,35.7,9,0.1583,2.4,10,0.0098,0
58,61328.88,3935.4,1000.0,86.3,13,0.2781,4.5,11,0.0642,1
30,60002.11,16219.27,1000.0,73.1,6,0.1825,4.3,1,0.2703,1
49,41961.05,2658.2,35995.8,76.5,12,0.3798,0.6,7,0.0633,1
57,67912.36,1779.0,23556.8,48.1,12,0.1499,5.4,1,0.0262,1
59,57567.84,21458.96,42118.99,71.6,14,0.0551,0.6,2,0.3728,1
68,112329.21,89.51,11789.23,100.0,13,0.4292,1.1,3,0.0008,1
38,99333.87,529.05,30253.19,86.8,12,0.1454,0.3,7,0.0053,1
36,69646.16,29250.95,37692.6,75.1,4,0.1603,7.7,5,0.42,1
69,40923.57,5244.36,18288.05,64.1,11,0.2905,6.3,10,0.1282,1
70,32189.71,40343.37,18608.72,64.9,11,0.2956,2.2,3,1.2533,1
30,89778.57,23065.66,25378.94,33.7,5,0.1842,5.4,7,0.2569,1
40,66568.73,17235.17,33140.15,76.6,10,0.2743,11.1,9,0.2589,1
68,72003.59,6417.46,24784.99,87.2,4,0.2105,0.9,11,0.0891,1
31,16385.35,2584.22,39609.95,43.6,8,0.1068,2.4,2,0.1577,1
60,83185.96,1164.11,18070.97,60.1,12,0.2675,0.6,8,0.014,1
27,71360.51,21515.0,5074.07,51.2,3,0.1974,0.1,1,0.3015,1
30,32239.23,1575.76,54654.63,54.6,5,0.0121,0.9,6,0.0489,1
60,48211.88,3064.27,15930.49,73.0,12,0.4346,5.0,4,0.0636,1
51,66592.93,11512.78,16473.37,34.5,7,0.3667,4.0,11,0.1729,0
49,61311.67,592.34,24012.95,83.1,14,0.3707,2.6,9,0.0097,1
63,52695.72,16193.07,26007.72,85.6,1,0.1599,4.4,11,0.3073,1
37,57412.79,1007.9,19199.75,67.5,11,0.7929,9.4,10,0.0176,1
46,53700.57,3064.6,24738.49,27.3,12,0.569,4.2,4,0.0571,0
51,63814.06,1234.82,24403.57,54.1,13,0.4893,6.9,8,0.0194,0
58,96787.3,35047.79,27622.29,94.2,3,0.2596,3.2,0,0.3621,1
38,15000.0,53790.71,1000.0,22.0,14,0.3615,0.2,6,3.586,1
53,54078.74,19723.43,53213.14,65.7,6,0.4748,2.7,0,0.3647,1
43,64412.81,17622.45,22790.68,50.8,5,0.3256,9.8,8,0.2736,0
48,67399.85,4367.84,33709.34,86.5,5,0.0864,4.6,11,0.0648,1
64,50702.14,16943.55,4328.48,59.8,9,0.1682,22.8,8,0.3342,1
41,16081.96,17748.0,17935.0,79.3,10,0.4486,5.0,10,1.1036,1
54,68199.89,21448.65,14915.26,82.2,7,0.2482,8.2,2,0.3145,1
68,103183.76,24059.08,47045.86,100.0,1,0.1959,9.0,11,0.2332,1
59,21653.46,24885.85,16212.8,68.3,14,0.2674,3.8,6,1.1493,1
70,81595.7,294.06,36371.2,78.8,4,0.0533,3.2,8,0.0036,1
50,51786.87,17639.22,15243.69,45.3,2,0.3588,5.0,9,0.3406,1
35,58466.89,14668.08,18210.72,93.4,9,0.2851,8.8,7,0.2509,1
70,33677.54,30929.32,21316.75,58.3,6,0.0683,7.0,3,0.9184,1
53,51638.6,1891.06,44257.68,61.9,9,0.1676,6.6,7,0.0366,1
33,92501.11,16846.71,1000.0,71.6,13,0.088,0.9,7,0.1821,1
37,74566.38,9603.22,5265.05,43.9,2,0.348,2.6,10,0.1288,1
34,103307.79,9835.35,1000.0,76.1,4,0.2025,6.1,5,0.0952,1
62,89435.3,2439.78,8687.47,89.4,8,0.1237,3.3,6,0.0273,1
26,70977.17,21644.85,12826.0,77.3,12,0.5814,12.6,6,0.305,1
58,103598.36,10638.54,1000.0,43.4,9,0.4222,0.3,1,0.1027,1
49,70974.83,1636.7,13987.78,69.8,6,0.2537,1.9,1,0.0231,1
25,80699.7,112060.12,1000.0,85.4,9,0.2724,0.3,0,1.3886,1
52,52585.73,14026.69,9730.17,38.2,14,0.2552,1.8,7,0.2667,0
58,61663.65,7676.76,43006.31,52.7,7,0.2919,0.1,5,0.1245,1
57,42564.4,48913.56,31053.82,87.8,13,0.1727,20.5,10,1.1492,1
47,84739.6,27999.92,27812.02,76.9,11,0.593,5.0,8,0.3304,1
38,30542.41,23183.6,9958.32,79.4,5,0.3753,4.4,1,0.7591,1
30,79558.76,1080.07,1958.73,100.0,4,0.2189,4.5,1,0.0136,1
22,55233.72,16863.49,7912.66,80.4,11,0.2775,2.0,4,0.3053,1
39,89281.18,32773.27,24351.85,83.8,3,0.2277,1.0,11,0.3671,1
52,78771.72,10300.49,38022.65,100.0,5,0.1344,5.4,0,0.1308,1
23,105516.15,21915.28,38535.51,68.2,4,0.4851,0.7,2,0.2077,1
70,78269.37,4883.77,34459.19,57.6,9,0.0374,0.3,0,0.0624,1
50,20698.99,2245.47,13936.65,79.7,5,0.1432,2.2,4,0.1085,1
36,58326.17,32465.6,25368.25,79.9,10,0.4865,4.6,11,0.5566,1
69,30699.82,8187.9,20179.86,62.5,14,0.4913,0.5,8,0.2667,1
31,47043.0,10730.86,21982.15,53.4,12,0.2439,9.2,5,0.2281,1
68,97780.71,5405.2,55556.92,100.0,14,0.136,4.1,1,0.0553,1
35,75938.35,10381.45,1000.0,77.9,1,0.1283,13.4,4,0.1367,1
40,42526.74,5245.05,21479.85,58.8,7,0.2581,0.2,6,0.1233,1
42,34657.07,850.12,43176.23,88.5,4,0.0952,0.1,3,0.0245,1
70,60819.55,29910.49,3011.63,70.0,13,0.3084,1.5,8,0.4918,1
34,29586.0,2808.15,15343.79,67.4,10,0.3755,0.2,11,0.0949,1
69,43221.49,5766.2,17064.42,82.1,5,0.2438,8.1,2,0.1334,1
39,67800.24,29162.55,21650.65,48.7,8,0.3075,6.6,3,0.4301,1
35,88882.8,16441.3,1060.64,78.3,9,0.3944,2.7,1,0.185,1
53,75219.04,13080.98,33929.29,100.0,7,0.272,1.0,8,0.1739,1
